sexe;formation;usage_vehicule;type_vehicule;type_conduite;formule;date_demande;points_perdus;Age du vehicule;id_client;Tranche d'âge;Enfants;conduite accompagnee;vehicule rouge;tranche revenus;tranche tarifs_devis;code postal
F;Bachelors;Commercial;Sports Car;Highly Urban/ Urban;dev_integral;25/02/2022;0;7;6226812;18-29 ans;oui;non;non;120000-129999;320-340;40180
F;z_High School;Private;Minivan;Highly Urban/ Urban;dev_express;24/05/2022;2;1;8918777;80 et plus;oui;oui;non;50000-59999;240-260;03000
F;z_High School;Private;Pickup;z_Highly Rural/ Rural;dev_express;24/01/2022;0;4;1728446;40-49 ans;oui;non;non;20000-29999;240-260;04800
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;20/04/2022;3;5;1569859;Moins de 18 ans;non;non;non;inconnu;300-320;06370
M;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_vip;23/03/2022;2;12;1337373;60-69 ans;non;non;non;inconnu;640-660;19100
F;Bachelors;Private;z_SUV;z_Highly Rural/ Rural;dev_premium;23/03/2022;2;15;3074331;30-39 ans;oui;non;non;70000-79999;440-460;70250
F;Bachelors;Commercial;Minivan;z_Highly Rural/ Rural;dev_express;13/03/2022;0;9;3949521;80 et plus;oui;oui;non;130000-139999;260-280;58000
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_premium;09/03/2022;1;10;8844569;60-69 ans;non;non;non;50000-59999;340-360;73460
M;PhD;Private;Minivan;Highly Urban/ Urban;dev_premium;29/01/2022;0;14;5891455;60-69 ans;non;non;non;110000-119999;380-400;30800
F;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;26/03/2022;1;10;3142892;50-59 ans;non;non;oui;inconnu;300-320;47510
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_express;26/05/2022;0;10;8827256;50-59 ans;oui;oui;non;20000-29999;260-280;83500
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_premium;27/01/2022;0;1;3058503;Moins de 18 ans;oui;non;non;20000-29999;380-400;inconnu
F;PhD;Private;z_SUV;Highly Urban/ Urban;dev_express;08/05/2022;0;18;7598925;70-79 ans;non;non;non;70000-79999;240-260;23800
M;z_High School;Commercial;Van;z_Highly Rural/ Rural;dev_integral;02/05/2022;5;6;5532928;Moins de 18 ans;non;non;non;inconnu;300-320;13080
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_integral;15/04/2022;0;1;9112906;70-79 ans;oui;non;non;30000-39999;300-320;68790
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_express;11/05/2022;0;13;7055242;80 et plus;non;non;non;40000-49999;260-280;81100
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;12/04/2022;0;15;3546258;50-59 ans;non;non;non;100000-109999;320-340;75018
F;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_express;04/03/2022;1;8;2505584;80 et plus;non;non;oui;50000-59999;260-280;78210
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_express;05/02/2022;0;11;2937833;70-79 ans;non;non;oui;70000-79999;260-280;95470
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;25/04/2022;0;10;9690499;80 et plus;non;non;non;40000-49999;280-300;16410
M;Masters;Private;Minivan;z_Highly Rural/ Rural;dev_express;20/03/2022;0;16;4761982;30-39 ans;oui;non;non;60000-69999;260-280;02270
M;<High School;Private;Minivan;Highly Urban/ Urban;dev_premium;27/03/2022;1;;4300582;80 et plus;oui;oui;non;20000-29999;360-380;69100
F;z_High School;Commercial;Van;Highly Urban/ Urban;dev_premium;16/05/2022;0;7;8326660;18-29 ans;non;non;oui;inconnu;360-380;46000
F;z_High School;Commercial;Sports Car;Highly Urban/ Urban;dev_premium;06/02/2022;5;1;3821899;80 et plus;oui;non;non;40000-49999;440-460;33700
M;<High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;27/04/2022;1;1;9269085;18-29 ans;non;non;non;20000-29999;260-280;93380
M;z_High School;Private;Minivan;z_Highly Rural/ Rural;dev_express;13/04/2022;1;;4449049;60-69 ans;non;non;oui;inconnu;240-260;18000
F;<High School;Private;Sports Car;z_Highly Rural/ Rural;dev_integral;22/03/2022;0;1;2563230;18-29 ans;non;non;non;40000-49999;280-300;53950
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;22/04/2022;5;;9377821;40-49 ans;non;non;non;70000-79999;280-300;87510
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_vip;23/03/2022;0;1;3286599;50-59 ans;non;non;non;50000-59999;860-880;95220
